Age,nearest_mrt,no_stores,Value,Area
32.0,84.87881999999999,10,37.9,Area_1
19.5,306.5947,9,42.2,Area_1
13.3,561.9845,5,47.3,Area_1
13.3,561.9845,5,54.8,Area_1
5.0,390.5684,5,43.1,Area_1
7.1,2175.03,3,32.1,Area_3
34.5,623.4731,7,40.3,Area_1
20.3,287.6025,6,46.7,Area_1
31.7,2000.0,1,18.8,Area_3
17.9,1783.18,3,22.1,Area_3
34.8,405.2134,1,41.4,Area_1
6.3,90.45606,9,58.1,Area_1
13.0,492.2313,5,39.3,Area_2
20.4,2469.645,4,23.8,Area_3
13.2,1164.838,4,34.3,Area_1
35.7,579.2083,2,50.5,Area_1
0.0,292.9978,6,70.1,Area_1
17.7,350.8515,1,37.4,Area_1
16.9,368.1363,8,42.3,Area_2
1.5,23.382839999999998,7,47.7,Area_2
4.5,2275.877,3,29.3,Area_3
10.5,279.1726,7,51.6,Area_1
14.7,1360.139,1,24.6,Area_2
10.1,279.1726,7,47.9,Area_1
39.6,480.6977,4,38.8,Area_1
29.3,1487.868,2,27.0,Area_1
3.1,383.8624,5,56.2,Area_1
10.4,276.449,5,33.6,Area_2
19.2,557.4780000000001,4,47.0,Area_1
7.1,451.2438,5,57.1,Area_1
25.9,2000.0,0,22.1,Area_3
29.6,769.4034,7,25.0,Area_1
37.9,488.5727,1,34.2,Area_1
16.5,323.655,6,49.3,Area_1
15.4,205.36700000000002,7,55.1,Area_1
13.9,2000.0,0,27.3,Area_1
14.7,1935.009,2,22.9,Area_3
12.0,1360.139,1,25.3,Area_2
3.1,577.9615,6,47.7,Area_1
16.2,289.3248,5,46.2,Area_1
13.6,2000.0,0,15.9,Area_3
16.8,2000.0,0,18.2,Area_3
36.1,519.4617,5,34.7,Area_2
34.4,512.7871,6,34.1,Area_1
2.7,533.4762,4,53.9,Area_1
36.6,488.8193,8,38.3,Area_2
21.7,463.9623,9,42.0,Area_2
35.9,640.7391,3,61.5,Area_1
24.2,2000.0,0,13.4,Area_3
29.4,2000.0,1,13.2,Area_3
21.7,512.5487,4,44.2,Area_1
31.3,1758.406,1,20.7,Area_2
32.1,1438.579,3,27.0,Area_1
13.3,492.2313,5,38.9,Area_2
16.1,289.3248,5,51.7,Area_1
31.7,1160.632,0,13.7,Area_2
33.6,371.2495,8,41.9,Area_1
3.5,56.47425,7,53.5,Area_2
30.3,2000.0,1,22.6,Area_3
13.3,336.0532,5,42.4,Area_2
11.0,1931.207,2,21.3,Area_3
5.3,259.6607,6,63.2,Area_1
17.2,2175.877,3,27.7,Area_3
2.6,533.4762,4,55.0,Area_1
17.5,995.7554,0,25.3,Area_2
40.1,123.7429,8,44.3,Area_1
1.0,193.5845,6,50.7,Area_2
8.5,104.8101,5,56.8,Area_2
30.4,464.223,6,36.2,Area_1
12.5,561.9845,5,42.0,Area_1
6.6,90.45606,9,59.0,Area_1
35.5,640.7391,3,40.8,Area_1
32.5,424.5442,8,36.3,Area_1
13.8,2000.0,0,20.0,Area_3
6.8,379.5575,10,54.4,Area_1
12.3,1360.139,1,29.5,Area_2
35.9,616.4004,3,36.8,Area_1
20.5,2185.1279999999997,3,25.6,Area_3
38.2,552.4371,2,29.8,Area_1
18.0,1414.8370000000002,1,26.5,Area_2
11.8,533.4762,4,40.3,Area_1
30.8,377.7956,6,36.8,Area_2
13.2,150.9347,7,48.1,Area_2
25.3,2000.0,3,17.7,Area_3
15.1,383.2805,7,43.7,Area_2
0.0,338.9679,9,50.8,Area_2
1.8,1455.7979999999998,1,27.0,Area_2
16.9,2000.0,0,18.3,Area_3
8.9,1406.43,0,48.0,Area_1
23.0,2000.0,0,25.3,Area_3
0.0,274.0144,1,45.4,Area_1
9.1,1402.016,0,43.2,Area_1
20.6,2469.645,4,21.8,Area_3
31.9,1146.329,0,16.1,Area_2
40.9,167.5989,5,41.0,Area_2
8.0,104.8101,5,51.8,Area_2
6.4,90.45606,9,59.5,Area_1
28.4,617.4424,3,34.6,Area_1
16.4,289.3248,5,51.0,Area_1
6.4,90.45606,9,62.2,Area_1
17.5,964.7496,4,38.2,Area_1
12.7,170.1289,1,32.9,Area_1
1.1,193.5845,6,54.4,Area_2
0.0,208.3905,6,45.7,Area_2
32.7,392.4459,6,30.5,Area_2
0.0,292.9978,6,71.0,Area_1
17.2,189.5181,8,47.1,Area_1
12.2,1360.139,1,26.6,Area_2
31.4,592.5006,2,34.1,Area_1
4.0,2147.376,3,28.4,Area_3
8.1,104.8101,5,51.6,Area_2
33.3,196.6172,7,39.4,Area_1
9.9,2102.427,3,23.1,Area_3
14.8,393.2606,6,7.6,Area_2
30.6,143.8383,8,53.3,Area_1
20.6,737.9161,2,46.4,Area_1
30.9,2000.0,1,12.2,Area_3
13.6,2000.0,0,13.0,Area_3
25.3,1583.7220000000002,3,30.6,Area_3
16.6,289.3248,5,59.6,Area_1
13.3,492.2313,5,31.3,Area_2
13.6,492.2313,5,48.0,Area_2
31.5,414.9476,4,32.5,Area_1
0.0,185.4296,0,45.5,Area_1
9.9,279.1726,7,57.4,Area_1
1.1,193.5845,6,48.6,Area_2
38.6,804.6897,4,62.9,Area_1
3.8,383.8624,5,55.0,Area_1
41.3,124.9912,6,60.7,Area_2
38.5,216.8329,7,41.0,Area_1
29.6,535.5269999999999,8,37.5,Area_1
4.0,2147.376,3,30.7,Area_3
26.6,482.7581,5,37.5,Area_1
18.0,373.3937,8,39.5,Area_1
33.4,186.9686,6,42.2,Area_2
18.9,1009.235,0,20.8,Area_2
11.4,390.5684,5,46.8,Area_1
13.6,319.0708,6,47.4,Area_2
10.0,942.4664,0,43.5,Area_1
12.9,492.2313,5,42.5,Area_2
16.2,289.3248,5,51.4,Area_1
5.1,1559.8270000000002,3,28.9,Area_3
19.8,640.6071,5,37.5,Area_2
13.6,492.2313,5,40.1,Area_2
11.9,1360.139,1,28.4,Area_2
2.1,451.2438,5,45.5,Area_1
0.0,185.4296,0,52.2,Area_1
3.2,489.8821,8,43.2,Area_2
16.4,2000.0,0,45.1,Area_3
34.9,179.4538,8,39.7,Area_1
35.8,170.7311,7,48.5,Area_2
4.9,387.7721,9,44.7,Area_1
12.0,1360.139,1,28.9,Area_2
6.5,376.1709,6,40.9,Area_2
16.9,2000.0,0,20.7,Area_3
13.8,2000.0,0,15.6,Area_3
30.7,1264.73,0,18.3,Area_2
16.1,815.9314,4,35.6,Area_1
11.6,390.5684,5,39.4,Area_1
15.5,815.9314,4,37.4,Area_1
3.5,49.66105,8,57.8,Area_2
19.2,616.4004,3,39.6,Area_1
16.0,2000.0,0,11.6,Area_3
8.5,104.8101,5,55.5,Area_2
0.0,185.4296,0,55.2,Area_1
13.7,1236.5639999999999,1,30.6,Area_1
0.0,292.9978,6,73.6,Area_1
28.2,330.0854,8,43.4,Area_1
27.6,515.1122,5,37.4,Area_2
8.4,1962.628,1,23.5,Area_2
24.0,2000.0,0,14.4,Area_3
3.6,383.8624,5,58.8,Area_1
6.6,90.45606,9,58.1,Area_1
41.3,401.8807,4,35.1,Area_1
4.3,432.0385,7,45.2,Area_1
30.2,472.1745,3,36.5,Area_1
13.9,2000.0,0,19.2,Area_3
33.0,181.0766,9,42.0,Area_1
13.1,1144.4360000000001,4,36.7,Area_1
14.0,438.8513,1,42.6,Area_1
26.9,2000.0,0,15.5,Area_3
11.6,201.8939,8,55.9,Area_1
13.5,2147.376,3,23.6,Area_3
17.0,2000.0,0,18.8,Area_3
14.1,2000.0,0,21.8,Area_2
31.4,1447.286,3,21.5,Area_1
20.9,2185.1279999999997,3,25.7,Area_3
8.9,2000.0,0,22.0,Area_2
34.8,190.0392,8,44.3,Area_1
16.3,2000.0,0,20.5,Area_3
35.3,616.5735,8,42.3,Area_1
13.2,750.0704,2,37.8,Area_1
43.8,57.58945,7,42.7,Area_2
9.7,421.47900000000004,5,49.3,Area_1
15.2,2000.0,0,29.3,Area_3
15.2,461.1016,5,34.6,Area_2
22.8,707.9067,2,36.6,Area_1
34.4,126.7286,8,48.2,Area_2
34.0,157.6052,7,39.1,Area_2
18.2,451.6419,8,31.6,Area_2
17.4,995.7554,0,25.5,Area_2
13.1,561.9845,5,45.9,Area_1
38.3,642.6985,3,31.5,Area_1
15.6,289.3248,5,46.1,Area_1
18.0,1414.8370000000002,1,26.6,Area_2
12.8,1449.7220000000002,3,21.4,Area_1
22.2,379.5575,10,44.0,Area_1
38.5,665.0636,3,34.2,Area_1
11.5,1360.139,1,26.2,Area_2
34.8,175.6294,8,40.9,Area_1
5.2,390.5684,5,52.2,Area_1
0.0,274.0144,1,43.5,Area_1
17.6,1805.665,2,31.1,Area_1
6.2,90.45606,9,58.0,Area_1
18.1,1783.18,3,20.9,Area_3
19.2,383.7129,8,48.1,Area_1
37.8,590.9292,1,39.7,Area_1
28.0,372.6242,6,40.8,Area_1
13.6,492.2313,5,43.8,Area_2
29.3,529.7771,8,40.2,Area_1
37.2,186.5101,9,78.3,Area_1
9.0,1402.016,0,38.5,Area_1
30.6,431.1114,10,48.5,Area_1
9.1,1402.016,0,42.3,Area_1
34.5,324.9419,6,46.0,Area_1
1.1,193.5845,6,49.0,Area_2
16.5,2000.0,0,12.8,Area_3
32.4,265.0609,8,40.2,Area_1
11.9,2000.0,0,46.6,Area_1
31.0,1156.412,0,19.0,Area_2
4.0,2147.376,3,33.4,Area_3
16.2,2000.0,0,14.7,Area_3
27.1,2000.0,1,17.4,Area_3
39.7,333.3679,9,32.4,Area_1
8.0,2216.612,4,23.9,Area_3
12.9,250.63099999999997,7,39.3,Area_2
3.6,373.8389,10,61.9,Area_1
13.0,732.8528,0,39.0,Area_1
12.8,732.8528,0,40.6,Area_1
18.1,837.7233,0,29.7,Area_2
11.0,1712.632,2,28.8,Area_3
13.7,250.63099999999997,7,41.4,Area_2
2.0,2077.39,3,33.4,Area_3
32.8,204.1705,8,48.2,Area_1
4.8,1559.8270000000002,3,21.7,Area_3
7.5,639.6198,5,40.8,Area_1
16.4,389.8219,6,40.6,Area_2
21.7,1055.067,0,23.1,Area_2
19.0,1009.235,0,22.3,Area_2
18.0,2000.0,1,15.0,Area_3
39.2,424.7132,7,30.0,Area_1
31.7,1159.454,0,13.8,Area_2
5.9,90.45606,9,52.7,Area_1
30.4,1735.595,2,25.9,Area_3
1.1,329.9747,5,51.8,Area_1
31.5,2000.0,1,17.4,Area_3
14.6,339.2289,1,26.5,Area_1
17.3,444.1334,1,43.9,Area_1
0.0,292.9978,6,63.3,Area_1
17.7,837.7233,0,28.8,Area_2
17.0,1485.0970000000002,4,30.7,Area_3
16.2,2288.011,3,24.4,Area_3
15.9,289.3248,5,53.0,Area_1
3.9,2147.376,3,31.7,Area_3
32.6,493.657,7,40.6,Area_2
15.7,815.9314,4,38.1,Area_1
17.8,1783.18,3,23.7,Area_3
34.7,482.7581,5,41.1,Area_1
17.2,390.5684,5,40.1,Area_1
17.6,837.7233,0,23.0,Area_2
10.8,252.5822,1,117.5,Area_1
17.7,451.6419,8,26.5,Area_2
13.0,492.2313,5,40.5,Area_2
13.2,170.1289,1,29.3,Area_1
27.5,394.0173,7,41.0,Area_1
1.5,23.382839999999998,7,49.7,Area_2
19.1,461.1016,5,34.0,Area_2
21.2,2185.1279999999997,3,27.7,Area_3
0.0,208.3905,6,44.0,Area_2
2.6,1554.25,3,31.1,Area_3
2.3,184.3302,6,45.4,Area_2
4.7,387.7721,9,44.8,Area_1
2.0,1455.7979999999998,1,25.6,Area_2
33.5,1978.671,2,23.5,Area_1
15.0,383.2805,7,34.4,Area_2
30.1,718.2937,3,55.3,Area_1
5.9,90.45606,9,56.3,Area_1
19.2,461.1016,5,32.9,Area_2
16.6,323.6912,6,51.0,Area_1
13.9,289.3248,5,44.5,Area_1
37.7,490.3446,0,37.0,Area_1
3.4,56.47425,7,54.4,Area_2
17.5,395.6747,5,24.5,Area_2
12.6,383.2805,7,42.5,Area_2
26.4,335.5273,6,38.1,Area_1
18.2,2179.59,3,21.8,Area_3
12.5,1144.4360000000001,4,34.1,Area_1
34.9,567.0349,4,28.5,Area_2
16.7,2000.0,0,16.7,Area_3
33.2,121.7262,10,46.1,Area_1
2.5,156.2442,4,36.9,Area_2
38.0,461.7848,0,35.7,Area_1
16.5,2288.011,3,23.2,Area_3
38.3,439.7105,0,38.4,Area_1
20.0,1626.0829999999999,3,29.4,Area_3
16.2,289.3248,5,55.0,Area_1
14.4,169.9803,1,50.2,Area_1
10.3,2000.0,0,24.7,Area_2
16.4,289.3248,5,53.0,Area_1
30.3,1264.73,0,19.1,Area_2
16.4,1643.499,2,24.7,Area_2
21.3,537.7971,4,42.2,Area_1
35.4,318.5292,9,78.0,Area_1
8.3,104.8101,5,42.8,Area_2
3.7,577.9615,6,41.6,Area_1
15.6,1756.411,2,27.3,Area_1
13.3,250.63099999999997,7,42.0,Area_2
15.6,752.7669,2,37.5,Area_1
7.1,379.5575,10,49.8,Area_1
34.6,272.6783,5,26.9,Area_2
13.5,2000.0,0,18.6,Area_3
16.9,964.7496,4,37.7,Area_1
12.9,187.4823,1,33.1,Area_1
28.6,197.1338,6,42.5,Area_1
12.4,1712.632,2,31.3,Area_3
36.6,488.8193,8,38.1,Area_2
4.1,56.47425,7,62.1,Area_2
3.5,757.3377,3,36.7,Area_1
15.9,1497.713,3,23.6,Area_3
13.6,2000.0,0,19.2,Area_3
32.0,1156.777,0,12.8,Area_2
25.6,2000.0,0,15.6,Area_3
39.8,617.7134,2,39.6,Area_1
7.8,104.8101,5,38.4,Area_2
30.0,1013.341,5,22.8,Area_1
27.3,337.6016,6,36.5,Area_2
5.1,1867.233,2,35.6,Area_1
31.3,600.8604,5,30.9,Area_2
31.5,258.186,9,36.3,Area_2
1.7,329.9747,5,50.4,Area_1
33.6,270.8895,0,42.9,Area_1
13.0,750.0704,2,37.0,Area_1
5.7,90.45606,9,53.5,Area_1
33.5,563.2854,8,46.6,Area_1
34.6,2000.0,0,41.2,Area_1
0.0,185.4296,0,37.9,Area_1
13.2,1712.632,2,30.8,Area_3
17.4,2000.0,1,11.2,Area_3
4.6,259.6607,6,53.7,Area_1
7.8,104.8101,5,47.0,Area_2
13.2,492.2313,5,42.3,Area_2
4.0,2180.245,3,28.6,Area_3
18.4,2000.0,3,25.7,Area_3
4.1,2147.376,3,31.3,Area_3
12.2,1360.139,1,30.1,Area_2
3.8,383.8624,5,60.7,Area_1
10.3,211.4473,1,45.3,Area_1
0.0,338.9679,9,44.9,Area_2
1.1,193.5845,6,45.1,Area_2
5.6,2408.993,0,24.7,Area_2
32.9,87.30221999999999,10,47.1,Area_1
41.4,281.205,8,63.3,Area_1
17.1,967.4,4,40.0,Area_1
32.3,109.9455,10,48.0,Area_1
35.3,614.1394,7,33.1,Area_1
17.3,2261.4320000000002,4,29.5,Area_3
14.2,1801.5439999999999,1,24.8,Area_2
15.0,1828.319,2,20.9,Area_3
18.2,350.8515,1,43.1,Area_1
20.2,2185.1279999999997,3,22.8,Area_3
15.9,289.3248,5,42.1,Area_1
4.1,312.8963,5,51.7,Area_2
33.9,157.6052,7,41.5,Area_2
0.0,274.0144,1,52.2,Area_1
5.4,390.5684,5,49.5,Area_1
21.7,1157.988,0,23.8,Area_2
14.7,1717.193,2,30.5,Area_3
3.9,49.66105,8,56.8,Area_2
37.3,587.8877,8,37.4,Area_2
0.0,292.9978,6,69.7,Area_1
14.1,289.3248,5,53.3,Area_1
8.0,132.5469,9,47.3,Area_1
16.3,2000.0,0,29.3,Area_3
29.1,506.1144,4,40.3,Area_1
16.1,2000.0,0,12.9,Area_3
18.3,82.88643,10,46.6,Area_1
0.0,185.4296,0,55.3,Area_1
16.2,2103.555,3,25.6,Area_3
10.4,2251.938,4,27.3,Area_3
40.9,122.3619,8,67.7,Area_2
32.8,377.8302,9,38.6,Area_1
6.2,1939.749,1,31.3,Area_2
42.7,443.80199999999996,6,35.3,Area_1
16.9,967.4,4,40.3,Area_1
32.6,2000.0,1,24.7,Area_3
21.2,512.5487,4,42.5,Area_1
37.1,918.6357,1,31.9,Area_1
13.1,1164.838,4,32.2,Area_1
14.7,1717.193,2,23.0,Area_3
12.7,170.1289,1,37.3,Area_1
26.8,482.7581,5,35.5,Area_1
7.6,2175.03,3,27.7,Area_3
12.7,187.4823,1,28.5,Area_1
30.9,161.942,9,39.7,Area_1
16.4,289.3248,5,41.2,Area_1
23.0,130.9945,6,37.2,Area_2
1.9,372.1386,7,40.5,Area_1
5.2,2408.993,0,22.3,Area_2
18.5,2175.744,3,28.1,Area_3
13.7,2000.0,0,15.4,Area_3
5.6,90.45606,9,50.0,Area_1
18.8,390.9696,7,40.6,Area_1
8.1,104.8101,5,52.5,Area_2
6.5,90.45606,9,63.9,Area_1
